data_srlnum,rcrd_tm,x_crdnt,y_crdnt,z_crdnt,yaw_rt,roll_rt,pitch_rt
179,20200909145103.877,-1.300781,0.425781,9.496094,-0.090500,-0.013360,-0.203932
180,20200909145103.926,-0.945312,0.199219,9.351562,-0.089915,-0.014478,-0.205596
181,20200909145103.947,-0.261719,-0.273438,9.722656,-0.089541,-0.014813,-0.206231
182,20200909145103.961,-0.761719,0.265625,9.109375,-0.087746,-0.016764,-0.209239
183,20200909145103.980,-0.562500,-0.101562,9.058594,-0.087373,-0.017101,-0.209873
184,20200909145103.997,-0.246094,0.585938,8.804688,-0.087060,-0.017449,-0.210509
185,20200909145104.050,-1.007812,0.355469,9.132812,-0.086397,-0.018017,-0.211714
186,20200909145104.070,0.058594,-0.062500,9.132812,-0.086144,-0.018373,-0.212421
187,20200909145104.094,-1.234375,-0.199219,9.851562,-0.085773,-0.018715,-0.212984
188,20200909145104.119,-0.070312,0.304688,8.316406,-0.085341,-0.019380,-0.214385
189,20200909145104.142,-1.226562,-0.011719,8.441406,-0.084403,-0.020834,-0.218356
190,20200909145104.191,0.269531,-0.511719,9.003906,-0.084247,-0.021021,-0.219105
191,20200909145104.215,-1.042969,0.062500,9.718750,-0.084150,-0.021224,-0.219736
192,20200909145104.237,-0.617188,-0.328125,9.546875,-0.084007,-0.021696,-0.221120
193,20200909145104.251,-0.519531,0.039062,9.304688,-0.084119,-0.022152,-0.222496
194,20200909145104.272,-0.652344,-0.402344,10.355469,-0.084083,-0.022363,-0.223187
195,20200909145104.332,-0.953125,-0.308594,9.988281,-0.084130,-0.022465,-0.223875
196,20200909145104.352,-0.656250,-0.007812,10.152344,-0.084446,-0.022495,-0.227295
197,20200909145104.378,-0.332031,-0.144531,10.042969,-0.084514,-0.022137,-0.228647
198,20200909145104.400,-0.378906,-0.195312,10.460938,-0.084685,-0.021546,-0.230050
199,20200909145104.419,-0.839844,0.199219,10.101562,-0.085586,-0.019268,-0.233247
200,20200909145104.471,0.039062,-0.406250,10.128906,-0.088069,-0.016396,-0.236358
201,20200909145104.494,-0.847656,-0.335938,11.664062,-0.089487,-0.014271,-0.238002
202,20200909145104.513,0.046875,-0.105469,10.691406,-0.089487,-0.014271,-0.238002
203,20200909145104.532,-0.562500,0.257812,10.597656,-0.090913,-0.012078,-0.239760
204,20200909145104.554,-1.226562,-0.316406,11.562500,-0.090913,-0.012078,-0.239760
205,20200909145104.601,-0.250000,0.160156,10.128906,-0.092731,-0.007124,-0.243620
206,20200909145104.627,-0.355469,0.234375,10.480469,-0.092986,-0.005943,-0.244620
207,20200909145104.649,-0.441406,0.328125,10.210938,-0.093232,-0.005193,-0.245631
208,20200909145104.663,-0.195312,0.460938,9.796875,-0.093255,-0.004653,-0.246660
209,20200909145104.688,-0.886719,-0.035156,10.281250,-0.093255,-0.004653,-0.246660
210,20200909145104.746,-0.550781,0.210938,9.347656,-0.092991,-0.005388,-0.249858
211,20200909145104.765,-0.218750,0.437500,9.445312,-0.092743,-0.006107,-0.250825
212,20200909145104.790,-0.734375,0.375000,9.250000,-0.092098,-0.007011,-0.251729
213,20200909145104.812,-0.226562,0.132812,9.859375,-0.090950,-0.008304,-0.253159
214,20200909145104.831,-0.562500,0.261719,9.621094,-0.090063,-0.009170,-0.254068
215,20200909145104.882,-0.953125,0.343750,9.605469,-0.088124,-0.010793,-0.256371
216,20200909145104.897,-1.257812,0.093750,9.546875,-0.087378,-0.011187,-0.257318
217,20200909145104.920,-1.511719,0.316406,9.902344,-0.087005,-0.011582,-0.258197
218,20200909145104.948,-1.343750,0.160156,9.371094,-0.086720,-0.011804,-0.259139
219,20200909145104.963,-1.335938,0.578125,9.945312,-0.086638,-0.011935,-0.260068
220,20200909145105.022,-1.140625,-0.277344,10.242188,-0.086019,-0.011526,-0.262899
221,20200909145105.048,-0.996094,0.394531,9.421875,-0.085839,-0.011087,-0.263813
222,20200909145105.068,-1.425781,-0.121094,10.777344,-0.085489,-0.010167,-0.265188
223,20200909145105.093,-0.691406,0.437500,9.308594,-0.085346,-0.009484,-0.266153
224,20200909145105.114,-1.175781,0.187500,10.136719,-0.085160,-0.008674,-0.267051
225,20200909145105.170,-0.722656,0.199219,11.015625,-0.085158,-0.008285,-0.267466
226,20200909145105.194,-1.453125,0.011719,10.460938,-0.084847,-0.006676,-0.269255
227,20200909145105.215,-1.355469,0.828125,9.632812,-0.084892,-0.005967,-0.270089
228,20200909145105.240,-1.984375,0.160156,10.402344,-0.084734,-0.004940,-0.271842
229,20200909145105.258,-1.980469,0.203125,9.503906,-0.084260,-0.004742,-0.274796
230,20200909145105.312,-2.082031,-0.160156,10.253906,-0.083689,-0.004803,-0.275670
231,20200909145105.341,-1.964844,0.566406,9.300781,-0.082755,-0.005224,-0.276990
232,20200909145105.359,-1.792969,-0.023438,9.320312,-0.082479,-0.005409,-0.277490
233,20200909145105.384,-2.539062,0.101562,9.800781,-0.078997,-0.007143,-0.281213
234,20200909145105.403,-1.929688,0.230469,8.875000,-0.078159,-0.007778,-0.282289
235,20200909145105.458,-2.093750,-0.308594,9.531250,-0.077010,-0.008840,-0.283941
236,20200909145105.483,-2.074219,0.058594,9.835938,-0.076208,-0.009667,-0.285023
237,20200909145105.502,-2.042969,0.222656,9.250000,-0.075693,-0.010661,-0.286103
238,20200909145105.522,-2.054688,0.074219,8.988281,-0.075039,-0.013045,-0.289031
239,20200909145105.549,-2.050781,-0.265625,9.707031,-0.074869,-0.013366,-0.289664
240,20200909145105.596,-1.632812,-0.054688,9.460938,-0.074203,-0.014181,-0.293266
241,20200909145105.621,-1.832031,0.031250,9.996094,-0.074206,-0.014160,-0.293827
242,20200909145105.647,-1.777344,-0.402344,10.753906,-0.074978,-0.012223,-0.297336
243,20200909145105.668,-1.648438,0.085938,10.226562,-0.074978,-0.012223,-0.297336
244,20200909145105.692,-1.769531,-0.050781,10.558594,-0.077169,-0.008910,-0.300046
245,20200909145105.753,-1.328125,0.109375,10.457031,-0.078445,-0.007255,-0.301153
246,20200909145105.773,-1.367188,-0.175781,10.148438,-0.079555,-0.005456,-0.302192
247,20200909145105.798,-1.746094,0.062500,10.164062,-0.083151,0.000159,-0.305338
248,20200909145105.816,-1.554688,0.378906,10.277344,-0.084072,0.001993,-0.306488
249,20200909145105.836,-1.597656,-0.160156,9.882812,-0.084716,0.003614,-0.307525
250,20200909145105.890,-1.203125,0.007812,10.082031,-0.085753,0.005457,-0.309224
251,20200909145105.910,-1.257812,0.250000,10.519531,-0.086233,0.006365,-0.310358
252,20200909145105.935,-1.683594,0.070312,10.046875,-0.086997,0.007190,-0.313267
253,20200909145105.956,-0.972656,0.476562,9.554688,-0.087273,0.006610,-0.314959
254,20200909145105.982,-1.101562,0.441406,9.324219,-0.087405,0.006247,-0.315528
255,20200909145106.042,-0.832031,0.445312,9.816406,-0.087477,0.005893,-0.316096
256,20200909145106.057,-1.023438,-0.035156,9.953125,-0.087416,0.005024,-0.317180
257,20200909145106.080,-0.992188,0.164062,9.734375,-0.087454,0.003952,-0.318151
258,20200909145106.101,-1.597656,0.335938,10.027344,-0.086075,0.000160,-0.321781
259,20200909145106.117,-1.320312,0.710938,9.371094,-0.085681,-0.000493,-0.322604
260,20200909145106.168,-0.910156,0.484375,9.570312,-0.085301,-0.001028,-0.323370
261,20200909145106.191,-1.171875,0.406250,9.507812,-0.085467,-0.002066,-0.325506
262,20200909145106.205,-0.878906,0.382812,8.972656,-0.085527,-0.002063,-0.325756
263,20200909145106.231,-1.582031,0.617188,9.699219,-0.085769,-0.002073,-0.326249
